items;type;quantity;buy_price;current_price;profit_loss
FPT;stock;148;98.020,00;94.500,00;-520.960,00
FOX;stock;125;65.940,00;64.700,00;-155.000,00
FRT;stock;101;130.780,00;133.600,00;284.820,00
HPG;stock;120;21.670,00;29.200,00;903.600,00
HAH;stock;100;54.000,00;54.900,00;90.000,00
MSN;stock;44;72.900,00;82.600,00;426.800,00
SSISCA;fund;206,61;42.484,14;46.371,49;940.383,35
VMEEF;fund;596,97;15.577,62;17.041,11;872.238,84
VDEF;fund;868,25;10.595,49;11.545,78;821.173,49
SSIEF;fund;200,46;9.976,64;;
VEOF;fund;56,42;35.447,64;;
DCDS;fund;18,59;107.540,54;;
